"Month","Rock Creek at Little Round Valley, NR. Bishop, California, Sep. 1960"
"1960-01",0.362
"1960-02",0.337
"1960-03",0.236
"1960-04",0.320
"1960-05",0.413
"1960-06",0.292
"1960-07",0.708
"1960-08",1.676
"1960-09",1.606
"1960-10",0.869
"1960-11",0.660
"1960-12",0.340
"1961-01",0.340
"1961-02",0.405
"1961-03",0.501
"1961-04",0.374
"1961-05",0.447
"1961-06",0.411
"1961-07",0.612
"1961-08",2.277
"1961-09",3.794
"1961-10",3.200
"1961-11",1.322
"1961-12",0.719
"1962-01",0.609
"1962-02",0.702
"1962-03",0.575
"1962-04",0.462
"1962-05",0.467
"1962-06",0.504
"1962-07",0.597
"1962-08",2.025
"1962-09",1.996
"1962-10",1.096
"1962-11",0.663
"1962-12",0.436
"1963-01",0.368
"1963-02",0.428
"1963-03",0.490
"1963-04",0.391
"1963-05",0.396
"1963-06",0.453
"1963-07",0.479
"1963-08",1.104
"1963-09",1.291
"1963-10",1.286
"1963-11",0.682
"1963-12",0.425
"1964-01",0.326
"1964-02",0.328
"1964-03",0.382
"1964-04",0.360
"1964-05",0.309
"1964-06",0.371
"1964-07",0.496
"1964-08",0.691
"1964-09",1.557
"1964-10",1.031
"1964-11",0.589
"1964-12",0.396
"1965-01",0.368
"1965-02",0.402
"1965-03",0.331
"1965-04",0.240
"1965-05",0.289
"1965-06",0.275
"1965-07",0.391
"1965-08",0.657
"1965-09",0.634
"1965-10",0.498
"1965-11",0.549
"1965-12",0.348
"1966-01",0.283
"1966-02",0.320
"1966-03",0.306
"1966-04",0.337
"1966-05",0.362
"1966-06",0.281
"1966-07",0.450
"1966-08",1.515
"1966-09",2.888
"1966-10",2.701
"1966-11",1.237
"1966-12",0.589
"1967-01",0.368
"1967-02",0.348
"1967-03",0.326
"1967-04",0.388
"1967-05",0.354
"1967-06",0.399
"1967-07",0.450
"1967-08",0.637
"1967-09",2.022
"1967-10",1.461
"1967-11",0.682
"1967-12",0.365
"1968-01",0.317
"1968-02",0.311
"1968-03",0.504
"1968-04",0.334
"1968-05",0.348
"1968-06",0.402
"1968-07",0.614
"1968-08",0.923
"1968-09",0.705
"1968-10",0.646
"1968-11",0.524
"1968-12",0.439
"1969-01",0.306
"1969-02",0.328
"1969-03",0.328
"1969-04",0.357
"1969-05",0.328
"1969-06",0.360
"1969-07",0.481
"1969-08",1.056
"1969-09",2.509
"1969-10",1.489
"1969-11",0.753
"1969-12",0.479
"1970-01",0.351
"1970-02",0.357
"1970-03",0.379
"1970-04",0.396
"1970-05",0.430
"1970-06",0.379
"1970-07",0.748
"1970-08",1.991
"1970-09",2.515
"1970-10",2.129
"1970-11",1.102
"1970-12",0.518
"1971-01",0.464
"1971-02",0.411
"1971-03",0.453
"1971-04",0.408
"1971-05",0.481
"1971-06",0.351
"1971-07",0.538
"1971-08",2.265
"1971-09",2.945
"1971-10",2.302
"1971-11",1.028
"1971-12",0.589
"1972-01",0.479
"1972-02",0.462
"1972-03",0.782
"1972-04",0.603
"1972-05",0.592
"1972-06",0.600
"1972-07",0.699
"1972-08",2.308
"1972-09",5.918
"1972-10",5.154
"1972-11",2.826
"1972-12",1.467
"1973-01",1.186
"1973-02",0.810
"1973-03",0.725
"1973-04",0.555
"1973-05",0.518
"1973-06",0.595
"1973-07",1.164
"1973-08",1.368
"1973-09",1.382
"1973-10",1.068
"1973-11",0.838
"1973-12",0.544
"1974-01",0.578
"1974-02",0.462
"1974-03",0.436
"1974-04",0.445
"1974-05",0.487
"1974-06",0.561
"1974-07",0.801
"1974-08",2.209
"1974-09",2.860
"1974-10",1.654
"1974-11",0.861
"1974-12",0.555
"1975-01",0.476
"1975-02",0.524
"1975-03",0.544
"1975-04",0.564
"1975-05",0.544
"1975-06",0.510
"1975-07",0.634
"1975-08",2.418
"1975-09",3.370
"1975-10",3.285
"1975-11",1.920
"1975-12",0.824
"1976-01",0.753
"1976-02",0.742
"1976-03",0.697
"1976-04",0.589
"1976-05",0.580
"1976-06",0.575
"1976-07",0.753
"1976-08",1.396
"1976-09",2.280
"1976-10",2.483
"1976-11",1.220
"1976-12",0.634
"1977-01",0.479
"1977-02",0.467
