"Month","General index of industrial production: monthly"
"1966-12",96
"1967-01",97
"1967-02",99
"1967-03",100
"1967-04",102
"1967-05",106
"1967-06",102
"1967-07",80
"1967-08",104
"1967-09",104
"1967-10",107
"1967-11",102
"1967-12",100
"1968-01",107
"1968-02",110
"1968-03",111
"1968-04",114
"1968-05",113
"1968-06",109
"1968-07",91
"1968-08",116
"1968-09",118
"1968-10",123
"1968-11",121
"1968-12",119
"1969-01",125
"1969-02",131
"1969-03",132
"1969-04",135
"1969-05",138
"1969-06",132
"1969-07",106
"1969-08",134
"1969-09",132
"1969-10",136
"1969-11",132
"1969-12",133
"1970-01",140
"1970-02",142
"1970-03",146
"1970-04",148
"1970-05",149
"1970-06",147
"1970-07",115
"1970-08",150
"1970-09",152
"1970-10",158
"1970-11",154
"1970-12",155
"1971-01",159
"1971-02",160
"1971-03",163
"1971-04",167
"1971-05",160
"1971-06",162
"1971-07",126
"1971-08",160
"1971-09",161
"1971-10",167
"1971-11",167
"1971-12",164
"1972-01",165
"1972-02",173
"1972-03",179
"1972-04",181
"1972-05",182
"1972-06",175
"1972-07",131
"1972-08",183
"1972-09",181
"1972-10",184
"1972-11",179
"1972-12",181
"1973-01",179
"1973-02",187
"1973-03",185
"1973-04",183
"1973-05",177
"1973-06",176
"1973-07",130
"1973-08",176
"1973-09",175
"1973-10",181
"1973-11",176
"1973-12",175
"1974-01",182
"1974-02",182
"1974-03",185
"1974-04",191
"1974-05",191
"1974-06",188
"1974-07",139
"1974-08",189
"1974-09",190
"1974-10",199
"1974-11",193
"1974-12",195
"1975-01",200
"1975-02",205
"1975-03",208
"1975-04",216
"1975-05",216
"1975-06",210
"1975-07",169
"1975-08",217
"1975-09",213
"1975-10",220
"1975-11",217

General index of industrial production: monthly

