"Year","Tree1","Tree2","Tree3","Tree4","Tree5","Tree6"
"1662",0.505,0.149,0.005,0.474,0.131,0.155
"1663",0.257,0.010,0.273,0.055,0.194,0.243
"1664",0.887,0.255,0.475,0.067,0.482,0.151
"1665",0.542,0.061,0.438,0.126,0.141,0.455
"1666",0.176,0.048,0.175,0.606,0.299,0.023
"1667",0.484,0.484,0.345,0.716,0.318,0.447
"1668",0.044,0.210,0.474,0.361,0.241,0.409
"1669",0.403,0.204,0.296,0.074,0.193,0.390
"1670",0.334,0.182,0.254,0.719,0.266,0.521
"1671",0.062,0.181,0.344,0.396,0.035,0.036
"1672",0.366,0.154,0.025,0.171,0.319,0.260
"1673",0.113,0.172,0.009,0.024,0.035,0.054
"1674",0.198,0.164,0.088,0.346,0.368,0.311
"1675",0.179,0.107,0.144,0.306,0.362,0.292
"1676",0.399,0.045,0.082,0.464,0.191,0.027
"1677",0.300,0.160,0.017,0.170,0.000,0.691
"1678",0.737,0.165,0.191,0.071,0.041,0.423
"1679",0.353,0.061,0.015,0.345,0.188,0.287
"1680",0.675,0.101,0.203,0.381,0.245,0.094
"1681",0.299,0.229,0.119,0.125,0.023,0.229
"1682",0.106,0.292,0.216,0.313,0.047,0.109
"1683",0.349,0.127,0.286,0.165,0.488,0.309
"1684",0.456,0.027,0.290,0.183,0.344,0.416
"1685",0.651,0.083,0.587,0.723,0.520,0.196
"1686",0.071,0.555,0.549,0.205,0.263,0.343
"1687",0.587,0.141,0.284,0.168,0.199,0.017
"1688",0.131,0.122,0.457,0.076,0.066,0.049
"1689",0.169,0.116,0.224,0.139,0.142,0.056
"1690",0.162,0.073,0.112,0.196,0.189,0.812
"1691",0.197,0.031,0.553,0.031,0.172,0.352
"1692",0.413,0.091,0.687,0.044,0.473,0.106
"1693",0.133,0.160,0.243,0.367,0.417,0.915
"1694",0.176,0.179,0.046,0.092,0.407,0.196
"1695",0.294,0.008,0.081,0.128,0.174,0.130
"1696",0.181,0.246,0.372,0.547,0.372,0.638
"1697",0.253,0.014,0.123,0.210,0.104,0.239
"1698",0.162,0.037,0.042,0.181,0.215,0.648
"1699",0.361,0.221,0.409,0.481,0.484,0.456
"1700",0.073,0.065,0.079,0.622,0.008,0.622
"1701",0.243,0.625,0.146,0.209,0.310,0.109
"1702",0.036,0.291,0.242,0.031,0.467,0.123
"1703",0.003,0.159,0.261,0.154,0.289,0.247
"1704",0.069,0.232,0.011,0.533,0.226,0.349
"1705",0.199,0.059,0.524,0.013,0.076,0.327
"1706",0.028,0.034,0.117,0.021,0.068,0.250
"1707",0.276,0.242,0.372,0.475,0.083,0.771
"1708",0.283,0.205,0.169,0.084,0.226,0.293
"1709",0.080,0.191,0.417,0.022,0.320,0.231
"1710",0.199,0.146,0.455,0.389,0.450,0.289
"1711",0.005,0.397,0.033,0.143,0.039,0.058
"1712",0.205,0.041,0.295,0.050,0.156,0.167
"1713",0.458,0.089,0.264,0.321,0.398,0.195
"1714",0.322,0.122,0.197,0.213,0.243,0.533
"1715",0.096,0.037,0.327,0.148,0.372,0.098
"1716",0.049,0.167,0.412,0.048,0.409,0.410
"1717",0.089,0.086,0.063,0.328,0.236,0.206
"1718",0.016,0.090,0.137,0.328,0.336,0.035
"1719",0.089,0.293,0.099,0.038,0.184,0.132
"1720",0.650,0.088,0.339,0.377,0.204,0.094
"1721",0.294,0.315,0.519,0.039,0.218,0.139
"1722",0.057,0.214,0.171,0.066,0.160,0.142
"1723",0.121,0.139,0.099,0.241,0.251,0.287
"1724",0.001,0.052,0.069,0.352,0.069,0.393
"1725",0.007,0.463,0.097,0.041,0.164,0.125
"1726",0.619,0.502,0.504,0.509,0.168,0.558
"1727",0.096,0.577,0.130,0.012,0.042,0.141
"1728",0.763,0.320,0.503,0.428,0.059,0.134
"1729",0.619,0.161,0.220,0.262,0.467,0.021
"1730",0.132,0.688,0.257,0.286,0.018,0.043
"1731",0.229,0.107,0.376,0.188,0.013,0.473
"1732",0.012,0.217,0.009,0.070,0.384,0.071
"1733",0.551,0.285,0.667,0.791,0.819,0.609
"1734",0.218,0.067,0.038,0.127,0.179,0.314
"1735",0.011,0.209,0.320,0.736,0.103,0.482
"1736",0.127,0.359,0.042,0.065,0.189,0.286
"1737",0.078,0.104,0.056,0.099,0.174,0.064
"1738",0.036,0.182,0.081,0.052,0.201,0.244
"1739",0.752,0.016,0.308,0.486,0.542,0.184
"1740",0.271,0.052,0.029,0.230,0.277,0.238
"1741",0.139,0.305,0.130,0.274,0.430,0.179
"1742",0.364,0.143,0.261,0.199,0.141,0.054
"1743",0.253,0.151,0.409,0.349,0.449,0.252
"1744",0.253,0.060,0.177,0.214,0.316,0.271
"1745",0.318,0.013,0.161,0.269,0.082,0.201
"1746",0.424,0.144,0.487,0.563,0.810,0.436
"1747",0.245,0.030,0.831,0.134,0.259,0.386
"1748",1.073,0.508,1.070,0.888,0.618,1.214
"1749",0.186,0.557,0.268,0.574,0.144,0.368
"1750",0.305,0.330,0.253,0.010,0.451,0.149
"1751",0.187,0.211,0.142,0.004,0.371,0.505
"1752",0.305,0.417,0.407,0.694,0.760,0.708
"1753",0.026,0.163,0.343,0.515,0.475,0.371
"1754",0.352,0.318,0.105,0.029,0.232,0.466
"1755",0.089,0.029,0.067,0.074,0.574,0.169
"1756",0.749,0.406,0.119,0.191,0.122,0.486
"1757",0.292,0.076,0.426,0.395,0.394,0.313
"1758",0.480,0.429,0.514,0.219,0.222,0.123
"1759",0.536,0.128,0.431,0.080,0.293,0.091
"1760",0.126,0.112,0.220,0.241,0.167,0.266
"1761",0.063,0.293,0.142,0.600,0.114,0.489
"1762",0.222,0.108,0.626,0.155,0.650,0.319
"1763",0.304,0.178,0.327,0.628,0.554,0.072
"1764",0.067,0.044,0.321,0.156,0.091,0.330
"1765",0.304,0.183,0.179,0.371,0.247,0.058
"1766",0.164,0.116,0.334,0.415,0.261,0.382
"1767",0.333,0.138,0.153,0.187,0.107,0.292
"1768",0.379,0.074,0.208,0.084,0.027,0.162
"1769",0.638,0.236,0.063,0.048,0.048,0.282
"1770",0.147,0.168,0.250,0.352,0.354,0.037
"1771",0.628,0.265,0.279,0.670,0.716,0.286
"1772",0.072,0.069,0.340,0.186,0.110,0.192
"1773",0.955,0.398,0.796,1.008,0.918,0.981
"1774",0.247,0.045,0.134,0.336,0.544,0.364
"1775",0.261,0.248,0.150,0.634,0.319,0.070
"1776",0.034,0.216,0.103,0.102,0.104,0.157
"1777",0.687,0.129,0.385,0.576,0.552,0.176
"1778",0.071,0.526,0.025,0.067,0.112,0.340
"1779",0.178,0.086,0.149,0.095,0.306,0.100
"1780",0.135,0.256,0.526,0.392,0.632,0.229
"1781",0.112,0.104,0.037,0.106,0.131,0.067
"1782",0.597,0.289,0.399,0.457,0.324,0.444
"1783",0.527,0.298,0.287,0.858,0.327,0.442
"1784",0.387,0.403,0.481,0.595,0.416,0.956
"1785",0.503,0.067,0.371,0.231,0.026,0.014
"1786",0.104,0.113,0.225,0.105,0.264,0.138
"1787",0.553,0.132,0.396,0.739,0.410,0.540
"1788",0.482,0.257,0.269,0.610,0.182,0.650
"1789",0.225,0.003,0.184,0.520,0.190,0.069
"1790",0.790,0.589,0.199,0.593,0.389,0.334
"1791",0.542,0.070,0.316,0.485,0.141,0.192
"1792",0.352,0.080,0.138,0.655,0.173,0.295
"1793",0.686,0.026,0.885,0.932,0.653,0.961
"1794",0.060,0.383,0.304,1.069,0.613,0.900
"1795",0.056,0.077,0.382,0.459,0.233,0.076
"1796",0.625,0.092,0.163,0.511,0.162,0.317
"1797",0.313,0.020,0.297,0.201,0.545,0.093
"1798",0.031,0.060,0.363,0.096,0.080,0.186
"1799",0.532,0.446,0.355,0.490,0.027,0.899
"1800",0.049,0.071,0.135,0.160,0.131,0.482
"1801",0.354,0.286,0.135,0.051,0.232,0.373
"1802",0.081,0.096,0.472,0.423,0.091,0.073
"1803",0.133,0.042,0.358,0.528,0.622,0.594
"1804",0.411,0.103,0.537,0.422,0.297,0.194
"1805",0.512,0.045,0.152,0.278,0.356,0.001
"1806",0.746,0.141,0.327,0.490,0.489,0.587
"1807",0.595,0.060,0.331,0.334,0.327,0.026
"1808",0.419,0.026,0.292,0.439,0.171,0.132
"1809",0.414,0.170,0.116,0.087,0.044,0.314
"1810",0.085,0.169,0.364,0.345,0.550,0.111
"1811",0.211,0.011,0.100,0.300,0.192,0.139
"1812",0.308,0.051,0.301,0.007,0.228,0.110
"1813",0.241,0.291,0.441,0.065,0.410,0.426
"1814",0.359,0.004,0.019,0.023,0.175,0.059
"1815",0.342,0.061,0.630,0.338,0.454,0.530
"1816",0.755,0.142,0.615,0.910,0.636,0.639
"1817",0.592,0.470,0.294,0.243,0.221,0.256
"1818",0.232,0.552,0.770,0.802,0.897,1.022
"1819",0.873,0.386,0.037,0.676,0.421,0.465
"1820",0.113,0.125,0.229,0.548,0.469,0.289
"1821",0.336,0.075,0.144,0.075,0.008,0.251
"1822",0.701,0.032,0.502,0.468,0.367,0.536
"1823",0.314,0.024,0.062,0.423,0.098,0.047
"1824",0.363,0.168,0.029,0.281,0.281,0.225
"1825",0.034,0.088,0.011,0.041,0.192,0.115
"1826",0.232,0.464,0.252,0.119,0.112,0.337
"1827",0.109,0.194,0.021,0.408,0.365,0.092
"1828",0.547,0.159,0.414,0.163,0.663,0.255
"1829",0.334,0.268,0.193,0.224,0.397,0.029
"1830",0.303,0.008,0.491,0.306,0.373,0.573
"1831",0.081,0.080,0.193,0.169,0.593,0.065
"1832",0.249,0.208,0.048,0.409,0.340,0.798
"1833",0.477,0.001,0.483,0.225,0.520,0.403
"1834",0.218,0.160,0.426,0.239,0.074,0.111
"1835",0.182,0.053,0.001,0.562,0.071,0.483
"1836",0.038,0.078,0.571,0.107,0.557,0.183
"1837",0.431,0.287,0.175,0.160,0.173,0.022
"1838",0.113,0.364,0.120,0.113,0.488,0.131
"1839",0.520,0.030,0.556,0.620,0.357,0.883
"1840",0.198,0.094,0.361,0.082,0.034,0.299
"1841",0.450,0.208,0.110,0.854,0.095,0.723
"1842",0.392,0.180,0.693,0.249,0.379,0.363
"1843",0.222,0.330,0.017,0.168,0.140,0.099
"1844",0.593,0.315,0.374,0.339,0.359,0.050
"1845",0.042,0.290,0.280,0.020,0.408,0.372
"1846",0.273,0.113,0.252,0.396,0.122,0.276
"1847",0.678,0.495,0.533,0.624,0.545,0.957
"1848",0.184,0.217,0.486,0.382,0.200,0.097
"1849",0.443,0.275,0.663,0.622,0.726,0.121
"1850",0.353,0.237,0.320,0.240,0.283,0.007
"1851",0.816,0.181,0.352,0.683,0.777,0.317
"1852",0.517,0.140,0.537,0.140,0.257,0.404
"1853",0.036,0.117,0.187,0.245,0.299,0.190
"1854",0.015,0.208,0.318,0.293,0.191,0.229
"1855",0.659,0.194,0.045,0.266,0.054,0.141
